emis,name,province,district,circuit,phase,sector,phone,street_address,town_city,email,quintile
444412051,IKAHENG P/S,Free State,LEJWELEPUTSWA,9,Primary,Public,,"75 MAKOKO DRIVE, EUREKA PARK, EUREKA PARK, VIRGINIA, 9430",VIRGINIA,,Q3
440506166,IKEMISETSENG  P/S,Free State,LEJWELEPUTSWA,7,Primary,Public,,"2361 MAILE STREET, KGOTSONG, KGOTSONG, BOTHAVILLE, 9660",BOTHAVILLE,,Q1
444712065,IKEMISETSENG (MINE) P/S,Free State,LEJWELEPUTSWA,2,Primary,Public,,"HAMLET STREET, ST HELENA  GOLD MINE, ST HELENA  GOLD MINE, WELKOM, 9466",WELKOM,,Q2
440808227,IKGWANTLELLE P/S,Free State,LEJWELEPUTSWA,8,Primary,Public,,"1152 Sentso Street, , , BULTFONTEIN, 9670",BULTFONTEIN,,Q1
442908017,INPOCUKO P/S,Free State,LEJWELEPUTSWA,4,Primary,Public,,"208 NDIMANDE STREET, KUTLWANONG, KUTLWANONG, ODENDAALSRUS, 9480",ODENDAALSRUS,,Q2
444908323,IPHATELENG S/S,Free State,LEJWELEPUTSWA,7,Secondary,Public,,"90533 ERASMUS STREET, , , WESSELSBRON, 9680",WESSELSBRON,,Q1
445008310,IPOPENG S/S,Free State,LEJWELEPUTSWA,5,Secondary,Public,,"33 LEECH STREET, , , WINBURG, 9420",WINBURG,,Q2
444908152,ITHABELENG S/S,Free State,LEJWELEPUTSWA,7,Secondary,Public,,"1299 BOIKHUTSO STREET, MONYAKENG LOCATION, MONYAKENG LOCATION, WESSELSBRON, 9680",WESSELSBRON,,Q1
444908008,ITOKISETSENG CF/S,Free State,LEJWELEPUTSWA,7,Combined,Public,,"Moedersorg farm, wesselsbron, wesselsbron, WESSELSBRON, 9680",WESSELSBRON,,Q1
442908220,ITUMELENG P/S,Free State,LEJWELEPUTSWA,4,Primary,Public,,"589 Block 7 Makakane Street, ODENDAALSRUS, ODENDAALSRUS, ODENDAALSRUS, 9480",ODENDAALSRUS,,Q1
442908321,JC MOTUMI S/S,Free State,LEJWELEPUTSWA,4,Secondary,Public,,"8444 K9, KUTLWANONG, KUTLWANONG, ODENDAALSRUS, 9483",ODENDAALSRUS,,Q2
440704040,KAGISANO C/S,Free State,LEJWELEPUTSWA,8,Combined,Public,,"167 NTHUNYA STREET, IKGOMOTSENG LOCATION, IKGOMOTSENG LOCATION, SOUTPAN, 9358",SOUTPAN,,Q2
444412036,KALKVLAKTE PF/S,Free State,LEJWELEPUTSWA,3,Primary,Public,,"STAND NO.338, WHITES, WHITES, VIRGINIA, 9430",VIRGINIA,,Q1
444908190,KATOLOSO P/S,Free State,LEJWELEPUTSWA,7,Primary,Public,,"1169 Sebokolodi str, Monyakeng, Monyakeng, WESSELSBRON, 9860",WESSELSBRON,,Q2
440404128,KEGOMODITSWE P/S,Free State,LEJWELEPUTSWA,6,Primary,Public,,"335 MALEBOGO STREET, MALEBOGO, MALEBOGO, HERTZOGVILLE, 9482",HERTZOGVILLE,,Q1
445802191,KGATELOPELE S/S,Free State,LEJWELEPUTSWA,8,Secondary,Public,,"BULTFONTEIN, PHAHAMENG, PHAHAMENG, BULTFONTEIN, 9670",BULTFONTEIN,,Q3
444206242,KGAUHELO P/S,Free State,LEJWELEPUTSWA,3,Primary,Public,,"KGAUHELO PUBLIC SCHOOL, 49 Mmamahabane, 49 Mmamahabane, VENTERSBURG, 9450",VENTERSBURG,,Q1
440404264,KGOLOLOSEGO S/S,Free State,LEJWELEPUTSWA,6,Secondary,Public,,"14 SCHOOL STREET, Tshwaraganang, Tshwaraganang, DEALESVILLE, 9348",DEALESVILLE,,Q1
441912110,KHELENG S/S,Free State,LEJWELEPUTSWA,3,Secondary,Public,,"11451 FIRST STREET, PHOMOLONG, PHOMOLONG, HENNENMAN, 9445",HENNENMAN,,Q3
444008050,KHOTSO P/S,Free State,LEJWELEPUTSWA,5,Primary,Public,,"923, MASILO, MASILO, THEUNISSEN, 9410",THEUNISSEN,,Q2
442908154,KHOTSONG P/S,Free State,LEJWELEPUTSWA,4,Primary,Public,,"720 TAUNYANE STREET, KUTLWANONG, KUTLWANONG, ODENDAALSRUS, 9480",ODENDAALSRUS,,Q2
444712126,KINGDOM ACADEMY CI/S,Free State,LEJWELEPUTSWA,10,Combined,Independent,,"C/O TEMPEST & ARRARAT ROAD, DAGBREEK, DAGBREEK, WELKOM, 9460",WELKOM,,
444712100,KOPPIE ALLEEN P/S,Free State,LEJWELEPUTSWA,2,Primary,Public,,"DEREKSTRAAT 10, RIEBEECKSTAD, RIEBEECKSTAD, WELKOM, 9469",WELKOM,,Q5
442908307,KUTLOANONG S/S,Free State,LEJWELEPUTSWA,4,Secondary,Public,,"1292 k4/ 2322 k7, MERAFONG, MERAFONG, ODENDAALSRUS, 9483",ODENDAALSRUS,,Q1
441912053,KWEETSA P/S,Free State,LEJWELEPUTSWA,3,Primary,Public,,"2963 , PHOMOLONG , PHOMOLONG , HENNENMAN, 9445",HENNENMAN,,Q3
442908319,LA WESI S/S,Free State,LEJWELEPUTSWA,4,Secondary,Public,,"2564/5 MOSHANE STREET, NYAKALLONG, NYAKALLONG, ALLANRIDGE, 9490",ALLANRIDGE,,Q3
444412089,LAKEVIEW P/S,Free State,LEJWELEPUTSWA,9,Primary,Public,,"38 VALLEY DRIVE SOUTH, VIRGINIA, VIRGINIA, VIRGINIA, 9430",VIRGINIA,,Q5
444712002,LEBOGANG S/S,Free State,LEJWELEPUTSWA,1,Secondary,Public,,"T/8097 DR MNGOMA STREET, , , WELKOM, 9463",WELKOM,,Q3
444712111,LEBONENG SPEC,Free State,LEJWELEPUTSWA,10,Special Needs,Public,,"Educationst., Thabong, Thabong, WELKOM, 9460",WELKOM,,
444712049,LEHAKWE P/S,Free State,LEJWELEPUTSWA,1,Primary,Public,,"14112  DR JAMES MOROKA STREET, ST HELENA PARK, ST HELENA PARK, WELKOM, 9463",WELKOM,,Q2
444712127,LEKGARIETSE,Free State,LEJWELEPUTSWA,1,Secondary,Public,,"13504 MATIMA DRIVE , FLAMINGO , FLAMINGO , WELKOM, 9459",WELKOM,,Q3
444712125,LEMOTSO P/S,Free State,LEJWELEPUTSWA,1,Primary,Public,,"25992 Joe Slovo Road, NEW STANDS, NEW STANDS, WELKOM, 9460",WELKOM,,Q2
444712029,LENAKENG T/S,Free State,LEJWELEPUTSWA,1,Secondary,Public,,"8000 CONSTANTIA ROAD EXT, THABONG, THABONG, WELKOM, 9460",WELKOM,,Q2
444712021,LENYORA P/S,Free State,LEJWELEPUTSWA,1,Primary,Public,,"8152 Mmatsa Street, Motsethabong, Motsethabong, WELKOM, 9463",WELKOM,,Q3
444712040,LEPHOLA S/S,Free State,LEJWELEPUTSWA,1,Secondary,Public,,"8218 NKOANE ROAD, LASVEGAS, LASVEGAS, WELKOM, 9460",WELKOM,,Q3
445803773,LESEDI MOHAU PI/S,Free State,LEJWELEPUTSWA,10,Primary,Independent,,,,,
444712044,LESEDING T/S,Free State,LEJWELEPUTSWA,1,Secondary,Public,,"10976 CONSTANTIA ROAD EXTENSION, , , WELKOM, 9460",WELKOM,,Q3
440506070,LETLOTLO NALEDI P/S,Free State,LEJWELEPUTSWA,7,Primary,Public,,"9741 NALEDI SECTION, KGOTSONG, KGOTSONG, BOTHAVILLE, 9660",BOTHAVILLE,,Q1
444712114,LETSETE S/S,Free State,LEJWELEPUTSWA,1,Secondary,Public,,"15573 DOLF BRITZ, ST. HELENA PARK, ST. HELENA PARK, WELKOM, 9460",WELKOM,,Q2
444908257,LETSIBOLO P/S,Free State,LEJWELEPUTSWA,7,Primary,Public,,"444 KGANG STREET, MONYAKENG, MONYAKENG, WESSELSBRON, 9680",WESSELSBRON,,Q1
444008256,LOBONENG P/S,Free State,LEJWELEPUTSWA,5,Primary,Public,,"670 MASILO TOWNSHIP, THEUNISSEN, THEUNISSEN, THEUNISSEN, 9410",THEUNISSEN,,Q2
440506327,LOSKUIL PF/S,Free State,LEJWELEPUTSWA,7,Primary,Public,,"Plaas Loskuil, Bothaville, Bothaville, BOTHAVILLE, 9660",BOTHAVILLE,,Q4
440808253,MAGAKAJANE P/S,Free State,LEJWELEPUTSWA,8,Primary,Public,,"1428 BAROLONG STREET, PHAHAMENG LOCATION, PHAHAMENG LOCATION, BULTFONTEIN, 9670",BULTFONTEIN,,Q1
445008189,MAKELEKETLA P/S,Free State,LEJWELEPUTSWA,5,Primary,Public,,"1096 MAKELEKETLA, MAKELEKETLA, MAKELEKETLA, WINBURG, 9420",WINBURG,,Q2
442908245,MALEBALEBA P/S,Free State,LEJWELEPUTSWA,4,Primary,Public,,"4989 K-6, Kutloanong Location, Kutloanong Location, ODENDAALSRUS, 9483",ODENDAALSRUS,,Q3
441212123,MALEBOGO P/S,Free State,LEJWELEPUTSWA,6,Primary,Public,,"1315 MALEBOGO STREET, HERTZOGVILLE, HERTZOGVILLE, 9482",,,Q3
440506227,MAMELLANG-THUTO S/S,Free State,LEJWELEPUTSWA,7,Secondary,Public,,"5233 MPUMALANGA, KGOTSONG, KGOTSONG, BOTHAVILLE, 9660",BOTHAVILLE,,Q1
444412025,MAMELLO S/S,Free State,LEJWELEPUTSWA,9,Secondary,Public,,"1391 Musa Street, Meloding, Meloding, VIRGINIA, 9430",VIRGINIA,,Q2
444412119,MAREMATLOU S/S,Free State,LEJWELEPUTSWA,9,Secondary,Public,,"4545 PHAHAMENG, VIRGINIA, VIRGINIA, VIRGINIA, 9430",VIRGINIA,,Q1
442908022,MAROBE P/S,Free State,LEJWELEPUTSWA,4,Primary,Public,,"433 Menong Street, Block 4, Block 4, ODENDAALSRUS, 9480",ODENDAALSRUS,,Q1
440808250,MATIMA-LENYORA P/S,Free State,LEJWELEPUTSWA,8,Primary,Public,,"3447, MATIMA LENYORA P.S, MATIMA LENYORA P.S, BULTFONTEIN, 9670",BULTFONTEIN,,Q1
444206211,MATSERIPE S/S,Free State,LEJWELEPUTSWA,3,Secondary,Public,,"1317 Mmamahabane Location, Mmamahabane, Mmamahabane, VENTERSBURG, 9450",VENTERSBURG,,Q1
440704105,MATSHEDISO I/S,Free State,LEJWELEPUTSWA,5,Intermediate,Public,,"1267 Segalo Street, MAJWEMASWEU, MAJWEMASWEU, BRANDFORT, 9400",BRANDFORT,,Q1
444412113,MELODING S/S,Free State,LEJWELEPUTSWA,9,Secondary,Public,,"12198  STILTE PARK, MELODING TOWNSHIP, MELODING TOWNSHIP, VIRGINIA, 9430",VIRGINIA,,Q2
444908317,MMABANA P/S,Free State,LEJWELEPUTSWA,7,Primary,Public,,"4013 Nkacoang Street, Monyakeng, Monyakeng, WESSELSBRON, 9680",WESSELSBRON,,Q1
444712050,MMANTSHEBO P/S,Free State,LEJWELEPUTSWA,1,Primary,Public,,"13502 Tsiu Matsepe  Street, Thabong, Thabong, WELKOM, 9460",WELKOM,,Q2
442908098,MOHOBO P/S,Free State,LEJWELEPUTSWA,4,Primary,Public,,"2597 K5, KUTLWANONG, KUTLWANONG, ODENDAALSRUS, 9480",ODENDAALSRUS,,Q1
444712023,MOJAHO P/S,Free State,LEJWELEPUTSWA,1,Primary,Public,,"8096 DR. MNGOMA ROAD, MOTSETHABONG, MOTSETHABONG, WELKOM, 9463",WELKOM,,Q3
440704025,MOKGWABONG P/S,Free State,LEJWELEPUTSWA,1,Primary,Public,,"14114 JAMES MOROKA STREET, THABONG, THABONG, WELKOM, 9463",WELKOM,,Q2
440704112,MONAMODI P/S,Free State,LEJWELEPUTSWA,5,Primary,Public,,"1057 SEGALO STREET, MAJWEMASWEU, MAJWEMASWEU, BRANDFORT, 9400",BRANDFORT,,Q1
444908243,MONYAKENG S/S,Free State,LEJWELEPUTSWA,7,Secondary,Public,,"90629 MONYAKENG , WESSELSBRON, WESSELSBRON, WESSELSBRON, 9680",WESSELSBRON,,Q1
440506102,MOPHATE S/S,Free State,LEJWELEPUTSWA,7,Secondary,Public,,"1355 MAJA STREET, KGOTSONG, KGOTSONG, BOTHAVILLE, 9660",BOTHAVILLE,,Q2
444712039,MOREMAPHOFU P/S,Free State,LEJWELEPUTSWA,1,Primary,Public,,"8087 PHEPHENGWENI STREET, MOTSETHABONG, MOTSETHABONG, WELKOM, 9463",WELKOM,,Q3
442908234,MOSALA S/S,Free State,LEJWELEPUTSWA,4,Secondary,Public,,"458 REUBEN MOKGOSI STR, NYAKALLONG, NYAKALLONG, ALLANRIDGE, 9490",ALLANRIDGE,,Q3
441912024,MOSO P/S,Free State,LEJWELEPUTSWA,3,Primary,Public,,"1135 PHOMOLONG, , , HENNENMAN, 9445",HENNENMAN,,Q3
445008150,NALEDI-YA-BOTJABELA  S/S,Free State,LEJWELEPUTSWA,5,Secondary,Public,,"784 Vaal Rock, MAKELEKETLA LOCATION, MAKELEKETLA LOCATION, WINBURG, 9420",WINBURG,,Q1
444712052,NANABOLELA S/S,Free State,LEJWELEPUTSWA,1,Secondary,Public,,"18122 KOTELO STREET, Thabong, Thabong, WELKOM, 9460",WELKOM,,Q2
444712096,NAUDEVILLE P/S,Free State,LEJWELEPUTSWA,2,Primary,Public,,"Mostertstraat 2, Naudeville, Naudeville, WELKOM, 9460",WELKOM,,Q5
444908303,NELSDRIF P/S,Free State,LEJWELEPUTSWA,10,Primary,Public,,"Port Allen, , , WESSELSBRON, 9462",WESSELSBRON,,Q5
444412112,NOBILIS SKOOL,Free State,LEJWELEPUTSWA,10,Special Needs,Public,,"Naboomstraat, , , VIRGINIA, 9430",VIRGINIA,,
440808325,NTUTHUZELO P/S,Free State,LEJWELEPUTSWA,8,Primary,Public,,"3592 MOOKODI SECTION, PHAHAMENG LOCATION, PHAHAMENG LOCATION, BULTFONTEIN, 9670",BULTFONTEIN,,Q1
442908304,ODENSIA P/S,Free State,LEJWELEPUTSWA,4,Primary,Public,,"DE KOCKLAAN, , , ODENDAALSRUS, 9480",ODENDAALSRUS,,Q5
441912030,ONS ANKER IF/S,Free State,LEJWELEPUTSWA,3,Intermediate,Public,,"Ons Anker Farm, HENNENMAN, HENNENMAN, HENNENMAN, 9445",HENNENMAN,,Q1
444712084,ORION,Free State,LEJWELEPUTSWA,10,Special Needs,Public,,"Zebra Street 1, Doorn, Doorn, WELKOM, 9460",WELKOM,,
440506198,OZIEL SELELE CS/S,Free State,LEJWELEPUTSWA,7,Secondary,Public,,"2360 Mpitsi Street, Kgotsong, Kgotsong, BOTHAVILLE, 9660",BOTHAVILLE,,Q1
444712073,PABALLONG P/S,Free State,LEJWELEPUTSWA,2,Primary,Public,,"PABALLONG VILLAGE, WELKOM NO 1, WELKOM NO 1, WELKOM, 9460",WELKOM,,Q2
445802146,PEREZ CHRISTIAN ACADEMY PI/S,Free State,LEJWELEPUTSWA,10,Primary,Independent,,"HARMONY WAY, VIRGINIA, VIRGINIA, WELKOM, 9463",WELKOM,,
444412118,PHAHAMISANANG P/S,Free State,LEJWELEPUTSWA,9,Primary,Public,,"5444  Stilte  Park, Meloding  Location, Meloding  Location, VIRGINIA, 9430",VIRGINIA,,Q1
442908055,PHEHELLO S/S,Free State,LEJWELEPUTSWA,4,Secondary,Public,,"645 MAKAKANE STREET, KUTLWANONG, KUTLWANONG, ODENDAALSRUS, 9480",ODENDAALSRUS,,Q1
441912069,PHOMOLONG P/S,Free State,LEJWELEPUTSWA,3,Primary,Public,,"2037 MOLETSANE STREET, HENNENMAN, HENNENMAN, HENNENMAN, 9445",HENNENMAN,,Q1
444712012,POLOKONG/OUMA TSOPO P/S,Free State,LEJWELEPUTSWA,2,Primary,Public,,"POLOKONG INTERMEDIATE SCHOOL, HANI PARK, HANI PARK, WELKOM, 9473",WELKOM,,Q2
440808312,RAINBOW S/S,Free State,LEJWELEPUTSWA,8,Secondary,Public,,"3590 MOOKODI STREET, PHAHAMENG LOCATION, PHAHAMENG LOCATION, BULTFONTEIN, 9670",BULTFONTEIN,,Q1
442908180,REARABETSWE S/S,Free State,LEJWELEPUTSWA,4,Secondary,Public,,"348 BLOCK 2, KUTLOANONG TOWNSHIP, KUTLOANONG TOWNSHIP, ODENDAALSRUS, 9480",ODENDAALSRUS,,Q3
444412047,REATLEHILE S/S,Free State,LEJWELEPUTSWA,9,Secondary,Public,,"749 KGOTSONG STREET , EUREKA PARK , EUREKA PARK , VIRGINIA, 9430",VIRGINIA,,Q3
440704141,REFIHLETSE C/S,Free State,LEJWELEPUTSWA,5,Combined,Public,,"223 BANYANE DRIVE, , , VERKEERDEVLEI, 9401",VERKEERDEVLEI,,Q2
441912121,REIKETSEDITSE P/S,Free State,LEJWELEPUTSWA,3,Primary,Public,,"1131 PHOMOLONG, , , HENNENMAN, 9445",HENNENMAN,,Q3
444712097,REITZPARK P/S,Free State,LEJWELEPUTSWA,2,Primary,Public,,"GELDENHUYS ST. , REITZ PARK, , , WELKOM, 9460",WELKOM,,Q4
442008316,RELEKILE S/S,Free State,LEJWELEPUTSWA,8,Secondary,Public,,"2150 MANDELA DRIVE, HOOPSTAD, HOOPSTAD, HOOPSTAD, 9479",HOOPSTAD,,Q1
440808153,REPHOLOSITSWE S/S,Free State,LEJWELEPUTSWA,8,Secondary,Public,,"1566  Ludada  Street, Phahameng Loc, Phahameng Loc, BULTFONTEIN, 9670",BULTFONTEIN,,Q1
444008314,RESEAMOHETSE P/S,Free State,LEJWELEPUTSWA,5,Primary,Public,,"3688 Masilo, , , THEUNISSEN, 9410",THEUNISSEN,,Q2
444712115,RHEEDERPARK C/S,Free State,LEJWELEPUTSWA,2,Combined,Public,,"54 LINDSAY ROAD, RHEEDER PARK, RHEEDER PARK, WELKOM, 9460",WELKOM,,Q2
444712098,RIEBEECKSTAD P/S,Free State,LEJWELEPUTSWA,2,Primary,Public,,"Hoek van Ernest & Aurorastraat, Corner of Ernest & Aurora Street, Corner of Ernest & Aurora Street, WELKOM, 9469",WELKOM,,Q5
444712080,RIEBEECKSTAD S/S,Free State,LEJWELEPUTSWA,2,Secondary,Public,,"H/v Mahler en Mareestraat, , , Riebeeckstad, 9469",Riebeeckstad,,Q4
442908318,SA MOKGOTHU P/S,Free State,LEJWELEPUTSWA,4,Primary,Public,,"3073, NYAKALLONG, NYAKALLONG, ALLANRIDGE, 9490",ALLANRIDGE,,Q1
444412092,SAAIPLAAS P/S,Free State,LEJWELEPUTSWA,9,Primary,Public,,"C/O Nobel- and Neon Street, Saaiplaas, Saaiplaas, VIRGINIA, 9430",VIRGINIA,,Q4
440404258,SAAMWERK P/S,Free State,LEJWELEPUTSWA,6,Primary,Public,,"H/v Skool en Pretoruis straat, Hertzogville, Hertzogville, HERTZOGVILLE, 9482",HERTZOGVILLE,,Q4
444908298,SANDVELD C/S,Free State,LEJWELEPUTSWA,7,Combined,Public,,"Du Preez Street, , , WESSELSBRON, 9680",WESSELSBRON,,Q5
444712035,SEABO P/S,Free State,LEJWELEPUTSWA,1,Primary,Public,,"PO Box 40103, Welkom, Welkom, WELKOM, 9463",WELKOM,,Q3
440808012,SEKGWENG IF/S,Free State,LEJWELEPUTSWA,8,Intermediate,Public,,"Bultfontein-Hoopstad Road 8 km out of to, BULTFONTEIN-HOOPSTAD ROAD, BULTFONTEIN-HOOPSTAD ROAD, BULTFONTEIN, 9670",BULTFONTEIN,,Q1
440404259,SENZILE  C/S,Free State,LEJWELEPUTSWA,6,Combined,Public,,"164 SCHOOL STREET, HERTZOGVILLE, HERTZOGVILLE, HERTZOGVILLE, 9482",HERTZOGVILLE,,Q1
442908239,SEQHOBONG S/S,Free State,LEJWELEPUTSWA,4,Secondary,Public,,"6273 K6, KUTLWANONG, KUTLWANONG, ODENDAALSRUS, 9483",ODENDAALSRUS,,Q1
444712108,SETSHABELO P/S,Free State,LEJWELEPUTSWA,1,Primary,Public,,"28588 Dr Ndaki Street,, THABONG, THABONG, WELKOM, 9460",WELKOM,,Q2
444712087,ST ANDREW'S CI/S,Free State,LEJWELEPUTSWA,10,Combined,Independent,,"cnr Hamlet & St Andrew's Road, St Helena, St Helena, WELKOM, 9466",WELKOM,,
445802185,ST ANNE PI/S,Free State,LEJWELEPUTSWA,10,Primary,Independent,,"43 Argon Road, Saaiplaas, Saaiplaas, VIRGINIA, 9435",VIRGINIA,,
445802184,ST ANNE T/S,Free State,LEJWELEPUTSWA,10,Secondary,Independent,,"45 Argon Road , Saaiplaas, Saaiplaas, VIRGINIA, 9435",VIRGINIA,,
444712085,ST DOMINIC'S COLLEGE CI/S,Free State,LEJWELEPUTSWA,10,Combined,Independent,,"a Jan Hofmeyer Road, , , WELKOM, 9460",WELKOM,,
444712099,ST HELENA P/S,Free State,LEJWELEPUTSWA,2,Primary,Public,,"14 Unicor Road, St Helena, St Helena, WELKOM, 9466",WELKOM,,Q5
440704219,STAATSPRES. SWART C/S,Free State,LEJWELEPUTSWA,5,Combined,Public,,"Voortrekkerstraat 72, , , BRANDFORT, 9400",BRANDFORT,,Q5
444008079,STILTE PF/S,Free State,LEJWELEPUTSWA,9,Primary,Public,,"STILTE, , , VIRGINIA, 9430",VIRGINIA,,Q1
440808211,SUMMERVILLE PF/S,Free State,LEJWELEPUTSWA,5,Primary,Public,,"BULTFONTEIN, , , THEUNISSEN, 9670",THEUNISSEN,,Q1
444008151,TAIWE S/S,Free State,LEJWELEPUTSWA,5,Secondary,Public,,"3601 Basil Read, Masilo, Masilo, THEUNISSEN, 9410",THEUNISSEN,,Q2
444908311,TATAISO P/S,Free State,LEJWELEPUTSWA,7,Primary,Public,,"3814 MOEDING STREET, MONYAKENG, MONYAKENG, WESSELSBRON, 9680",WESSELSBRON,,Q1
444712033,TETO S/S,Free State,LEJWELEPUTSWA,1,Secondary,Public,,"8174 CONSTANTIA ROAD, THABONG, THABONG, WELKOM, 9463",WELKOM,,Q3
444712062,THABONG P/S,Free State,LEJWELEPUTSWA,1,Primary,Public,,"8023 MODIKENG ROAD, MOTSETHABONG, MOTSETHABONG, WELKOM, 9463",WELKOM,,Q3
444712061,THEMBEKILE P/S,Free State,LEJWELEPUTSWA,1,Primary,Public,,"Dr  Mngoma  Road  -  8059, Motse   Thabong, Motse   Thabong, WELKOM, 9463",WELKOM,,Q3
444008299,THEUNISSEN C/S,Free State,LEJWELEPUTSWA,5,Combined,Public,,"Loopstraat 1, , , THEUNISSEN, 9410",THEUNISSEN,,Q5
442008247,THORISO P/S,Free State,LEJWELEPUTSWA,8,Primary,Public,,"1802 Nelson Mandela Drive, Tikwana, Tikwana, HOOPSTAD, 9479",HOOPSTAD,,Q2
444712020,THOTAGAUTA S/S,Free State,LEJWELEPUTSWA,1,Secondary,Public,,"Cnr Thuhloane/ Thelingwane Rd, , , WELKOM, 9463",WELKOM,,Q3
442908283,THUSANONG P/S,Free State,LEJWELEPUTSWA,4,Primary,Public,,"426  BLOCK 6, KUTLWANONG LOC, KUTLWANONG LOC, ODENDAALSRUS, 9480",ODENDAALSRUS,,Q2
444306201,TIDOR PF/S,Free State,LEJWELEPUTSWA,7,Primary,Public,,"BODEEL FARM , BOTHAVILLE, BOTHAVILLE, BOTHAVILLE, 9660",BOTHAVILLE,,Q1
442008225,TIKWANE CS/S,Free State,LEJWELEPUTSWA,8,Secondary,Public,,"653 RASELLO STREET, TIKWANA LOCATION, TIKWANA LOCATION, HOOPSTAD, 9479",HOOPSTAD,,Q1
444412057,TIKWE P/S,Free State,LEJWELEPUTSWA,9,Primary,Public,,"369 KOPANONG STREET, MELODING, MELODING, VIRGINIA, 9430",VIRGINIA,,Q2
440506165,TJANTJELLO P/S,Free State,LEJWELEPUTSWA,7,Primary,Public,,"1354 MAJA STREET, KGOTSONG, KGOTSONG, BOTHAVILLE, 9660",BOTHAVILLE,,Q2
442008254,TLAMANANG P/S,Free State,LEJWELEPUTSWA,8,Primary,Public,,"175 MOFOKENG STREET, TIKWANA, TIKWANA, HOOPSTAD, 9479",HOOPSTAD,,Q2
445008258,TLONGKGANYENG P/S,Free State,LEJWELEPUTSWA,5,Primary,Public,,"1094 OLD LOCATION, MAKELEKETLA, MAKELEKETLA, WINBURG, 9420",WINBURG,,Q2
442908038,TS MATLALETSA P/S,Free State,LEJWELEPUTSWA,4,Primary,Public,,"7 CEDER ROAD, RESIDENSIA, RESIDENSIA, ODENDAALSRUS, 9480",ODENDAALSRUS,,Q2
444712048,TSAKANI P/S,Free State,LEJWELEPUTSWA,1,Primary,Public,,"11958 Matima Crescent, Oppenheimer Park, Oppenheimer Park, WELKOM, 9460",WELKOM,,Q2
440506116,TSHEDISEHANG P/S,Free State,LEJWELEPUTSWA,7,Primary,Public,,"975 Mohlabane Street, Kgotsong, Kgotsong, BOTHAVILLE, 9660",BOTHAVILLE,,Q3
440506087,TSHEHETSO P/S,Free State,LEJWELEPUTSWA,7,Primary,Public,,"9114 Eergevonde & Lombardi Street, Kgotsong, Kgotsong, BOTHAVILLE, 9660",BOTHAVILLE,,Q3
442908191,TSHIRELETSO P/S,Free State,LEJWELEPUTSWA,4,Primary,Public,,"378  , NYAKALLONG, NYAKALLONG, ALLANRIDGE, 9490",ALLANRIDGE,,Q3
440404130,TSHOMARELO P/S,Free State,LEJWELEPUTSWA,6,Primary,Public,,"372 POTLAKI STR , TSWARAGANANG, TSWARAGANANG, DEALESVILLE, 9348",DEALESVILLE,,Q1
444712004,TSWELOPELE P/S,Free State,LEJWELEPUTSWA,1,Primary,Public,,"8154 James Ngake Street, Thabong, Thabong, WELKOM, 9463",WELKOM,,Q3
444712081,UNITAS CS/S,Free State,LEJWELEPUTSWA,2,Secondary,Public,,"104 Volks Road, Doorn, Doorn, WELKOM, 9460",WELKOM,,Q4
444206334,VENTERSBURG I/S,Free State,LEJWELEPUTSWA,3,Intermediate,Public,,"DJP Scholtzstraat, , , VENTERSBURG, 9450",VENTERSBURG,,Q3
440704235,VERKEERDEVLEI P/S,Free State,LEJWELEPUTSWA,5,Primary,Public,,"Meiring Street, , , VERKEERDEVLEI, 9401",VERKEERDEVLEI,,Q1
440808049,VETRIVIER IF/S,Free State,LEJWELEPUTSWA,8,Intermediate,Public,,"VALSFONTEIN FARM, , , BULTFONTEIN, 9670",BULTFONTEIN,,Q1
444008103,VIERHOEK IF/S,Free State,LEJWELEPUTSWA,10,Intermediate,Public,,"Port Allen road, Eldorado farm, Eldorado farm, WELKOM, 9460",WELKOM,,Q1
445802186,VIRGINIA S/S,Free State,LEJWELEPUTSWA,9,Secondary,Public,,"BOOM ROAD, VIRGINIA CENTRAL, VIRGINIA CENTRAL, VIRGINIA, 9430",VIRGINIA,,Q4
445802182,VOLUIT P/S,Free State,LEJWELEPUTSWA,9,Primary,Public,,"Fernweg , VIRGINIA, VIRGINIA, VIRGINIA, 9430",VIRGINIA,,Q4
444712102,WELKOM  PREPARATORY SCHOOL,Free State,LEJWELEPUTSWA,2,Primary,Public,,"C/o Romeo- & Viola Streets, Bedelia, Bedelia, WELKOM, 9460",WELKOM,,Q5
445803767,WELKOM ACADEMY OF EXCELENCE,Free State,LEJWELEPUTSWA,10,Combined,Independent,,1 POWER ROAD,,,
444712083,WELKOM HIGH S/S,Free State,LEJWELEPUTSWA,2,Secondary,Public,,"62 Falstaff Road, Bedelia, Bedelia, WELKOM, 9460",WELKOM,,Q5
444712128,WELKOM ISLAMIC CI/S,Free State,LEJWELEPUTSWA,10,Combined,Independent,,"5 Protea Street, Jim Fouche Park, Jim Fouche Park, WELKOM, 9459",WELKOM,,
444712107,WELKOM S/S,Free State,LEJWELEPUTSWA,2,Secondary,Public,,"c/o Pietersen- and Barend Street, Bronville, Bronville, WELKOM, 9474",WELKOM,,Q3
444712103,WELKOM VOLKSKOOL P/S,Free State,LEJWELEPUTSWA,2,Primary,Public,,"Tanastraat 40, Doorn, Doorn, WELKOM, 9460",WELKOM,,Q5
